"","Local","parcela","Evento","A","P","Imed","I30max","EI30","Vol","Lamina","C","qmax","qmed","Ia","PS","CSSmax","CSSmed","PSesp","CentQ","CentP","Tlw","Tw","Tb","Tlp","Tlpc","Tlc","Tr","Tc","TQC","IH","Qmid","Tempo.retorno"
"166","Toledo","PCT","13/11/2022",8000,42.7,31.7,"62.44","68984.4",4.48,0.56,1.3,4.29,1.29,42.14,2.07,1.1,"0.18",0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Toledo","PCT","15/02/2023",8000,16,18.39,"27.87","",0,0,0,0,0,16,0,0,"0.00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Toledo","PCT","10/07/2023",8000,20.4,17,"31.20","",0.35,0.04,0.21,0.37,0.18,20.36,0.1,0.5,"0.17",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Toledo","PCT","02/09/2023",8000,50.4,42,"46.70","",2.36,0.3,0.6,2.64,1,50.1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Toledo","PST","11/12/2019",8000,42,31.5,"77.81","86061.02",6.63,0.83,1.97,10.76,3.69,41.17,19.9,9.71,"3.53",2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Toledo","PST","22/05/2020",8000,173,11.53,NA,NA,17.77,2.22,1.28,16.14,0.56,170.78,102.67,14.39,"2.22",12.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Toledo","PST","17/01/2021",8000,58,25.14,"38.56","71090.99",0.21,0.03,0.04,0.26,0.06,57.97,0.53,4.55,"2.2",0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Toledo","PST","15/10/2021",8000,72.2,10.07,"27.2","44221.87",7.09,0.89,1.23,3.6,0.35,71.31,4.97,2.28,"0.84",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Toledo","PST","23/10/2021",8000,27.1,31.03,"43.89","52492.04",3.27,0.41,1.36,7.35,0.99,26.69,2.25,1.42,"0.7",0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Toledo","PST","12/04/2022",8000,57.2,31.48,"56","86101.54",26.76,3.34,5.22,12.08,4.64,53.86,18.72,3.43,"0.65",2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Toledo","PST","22/04/2022",8000,21.3,13.25,"36.06","17533.31",1.56,0.2,0.82,2.95,0.62,21.1,0.96,1.66,"0.51",0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Toledo","PST","23/04/2022",8000,32.4,18.17,"51.07","37536.27",13.19,1.65,4.46,6.5,4.23,30.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Toledo","PST","21/09/2022",8000,11,4.5,"21.75","1222.45",1,0.12,1.09,1.18,0.64,10.88,0.19,0.47,"0.15",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Toledo","PST","06/10/2022",8000,27.8,32.8,"52.37","42945.02",5.63,0.7,2.51,9.48,2.13,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Toledo","PST","10/10/2022",8000,20.1,30.36,"37.6","10440.18",10.89,1.36,6.77,8.73,3.24,18.74,4.89,3.06,"0.42",0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Toledo","PST","11/10/2022",8000,30.9,16.74,"25.8","18490.39",7.22,0.9,2.91,5.41,1.2,30,1.38,0.45,"0.14",0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Toledo","PST","11/10/2022",8000,20.7,13.3,"26.79","11314.89",5.89,0.74,3.13,3.1,1.39,19.96,0.75,0.58,"0.1",0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Toledo","PST","20/10/2022",8000,10.1,38.03,"20.2","5069.5",1.32,0.16,1.63,1.66,0.73,9.94,5.33,7.21,"3.6",0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Toledo","PST","20/10/2022",8000,16.9,73.2,"34","17114.58",20.05,2.51,14.79,30.19,5.59,14.39,292.8,26.88,"7.1",36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Toledo","PST","20/10/2022",8000,12.1,21.61,"24.79","8111.76",5.7,0.71,9.91,7.78,2.75,11.39,56.08,15.61,"7.82",7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Toledo","PST","20/10/2022",8000,36.8,9.62,"23.73","19558.18",25.58,3.2,8.64,6.21,2.07,33.6,121.55,15.03,"3.72",15.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Toledo","PST","31/10/2022",8000,20.4,26.71,"34.73","14528.27",3.86,0.48,2.26,3.99,1.44,19.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Toledo","PST","31/10/2022",8000,18.2,17.7,"28.6","13214.04",5.59,0.7,3.84,4.23,1.55,17.5,7.23,3.23,"1.15",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Toledo","PST","13/11/2022",8000,42.7,31.7,"62.44","68984.4",7.06,0.88,2.05,11.97,3.1,41.82,5.88,2.09,"0.54",0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Toledo","PST","15/02/2023",8000,16,19.36,"27.87",NA,0.54,0.07,0.43,0.87,0.5,15.93,0.22,0.6,"0.17",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Toledo","PST","10/07/2023",8000,20.4,16.98,"31.2",NA,1.55,0.19,0.95,1.46,0.54,20.21,0.7,0.61,"0.35",0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Toledo","PST","02/09/2023",8000,50.4,21.36,"46.6",NA,2.71,0.34,0.67,4.91,1.41,50.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
